CODE,scenario,lower,median,upper,indicator
E47000001,1981-2000,-6.6,-6.2,-5.7,Winter Minimum Temperature Change
E47000002,1981-2000,-7.2,-6.9,-6.5,Winter Minimum Temperature Change
E47000003,1981-2000,-7.1,-6.8,-6.5,Winter Minimum Temperature Change
E47000004,1981-2000,-5.8,-5.5,-5.1,Winter Minimum Temperature Change
E47000006,1981-2000,-7.5,-7.1,-6.7,Winter Minimum Temperature Change
E47000007,1981-2000,-8.0,-7.5,-7.0,Winter Minimum Temperature Change
E47000008,1981-2000,-8.1,-7.5,-7.1,Winter Minimum Temperature Change
E47000009,1981-2000,-7.4,-6.7,-6.5,Winter Minimum Temperature Change
E47000010,1981-2000,-8.3,-8.0,-7.7,Winter Minimum Temperature Change
E47000011,1981-2000,-8.6,-8.3,-8.0,Winter Minimum Temperature Change
E10000003,1981-2000,-8.1,-7.5,-7.1,Winter Minimum Temperature Change
E10000007,1981-2000,-8.1,-7.8,-7.3,Winter Minimum Temperature Change
E10000008,1981-2000,-6.1,-5.8,-5.3,Winter Minimum Temperature Change
E10000011,1981-2000,-7.1,-6.5,-6.1,Winter Minimum Temperature Change
E10000012,1981-2000,-7.3,-6.9,-6.6,Winter Minimum Temperature Change
E10000013,1981-2000,-8.1,-7.7,-7.1,Winter Minimum Temperature Change
E10000014,1981-2000,-7.6,-7.2,-6.8,Winter Minimum Temperature Change
E10000015,1981-2000,-8.0,-7.4,-7.1,Winter Minimum Temperature Change
E10000016,1981-2000,-7.0,-6.5,-6.2,Winter Minimum Temperature Change
E10000017,1981-2000,-7.0,-6.9,-6.3,Winter Minimum Temperature Change
E10000018,1981-2000,-8.7,-8.2,-7.6,Winter Minimum Temperature Change
E10000019,1981-2000,-7.5,-7.1,-6.5,Winter Minimum Temperature Change
E10000020,1981-2000,-7.1,-6.7,-6.4,Winter Minimum Temperature Change
E10000024,1981-2000,-7.7,-7.4,-6.7,Winter Minimum Temperature Change
E10000025,1981-2000,-8.4,-8.1,-7.5,Winter Minimum Temperature Change
E10000028,1981-2000,-8.0,-7.7,-7.2,Winter Minimum Temperature Change
E10000029,1981-2000,-7.0,-6.5,-6.4,Winter Minimum Temperature Change
E10000030,1981-2000,-7.9,-7.5,-7.1,Winter Minimum Temperature Change
E10000031,1981-2000,-8.5,-7.9,-7.5,Winter Minimum Temperature Change
E10000032,1981-2000,-7.4,-6.9,-6.5,Winter Minimum Temperature Change
E10000034,1981-2000,-8.1,-7.7,-7.2,Winter Minimum Temperature Change
E06000001,1981-2000,-6.6,-6.2,-5.8,Winter Minimum Temperature Change
E06000002,1981-2000,-7.4,-6.9,-6.4,Winter Minimum Temperature Change
E06000003,1981-2000,-6.8,-6.4,-6.1,Winter Minimum Temperature Change
E06000004,1981-2000,-8.0,-7.6,-7.0,Winter Minimum Temperature Change
E06000005,1981-2000,-8.4,-7.9,-7.3,Winter Minimum Temperature Change
E06000006,1981-2000,-6.5,-6.2,-5.6,Winter Minimum Temperature Change
E06000007,1981-2000,-6.8,-6.3,-5.5,Winter Minimum Temperature Change
E06000008,1981-2000,-7.3,-6.8,-6.6,Winter Minimum Temperature Change
E06000009,1981-2000,-6.6,-6.4,-5.9,Winter Minimum Temperature Change
E06000010,1981-2000,-6.0,-5.7,-5.2,Winter Minimum Temperature Change
E06000011,1981-2000,-7.1,-6.7,-6.4,Winter Minimum Temperature Change
E06000012,1981-2000,-6.4,-6.1,-5.6,Winter Minimum Temperature Change
E06000013,1981-2000,-7.1,-6.8,-6.3,Winter Minimum Temperature Change
E06000014,1981-2000,-7.3,-7.0,-6.6,Winter Minimum Temperature Change
E06000015,1981-2000,-7.7,-7.1,-6.4,Winter Minimum Temperature Change
E06000016,1981-2000,-8.4,-7.8,-7.2,Winter Minimum Temperature Change
E06000017,1981-2000,-8.5,-8.1,-7.4,Winter Minimum Temperature Change
E06000018,1981-2000,-6.9,-6.6,-5.9,Winter Minimum Temperature Change
E06000019,1981-2000,-8.2,-7.6,-7.1,Winter Minimum Temperature Change
E06000020,1981-2000,-8.9,-8.0,-7.7,Winter Minimum Temperature Change
E06000021,1981-2000,-7.2,-7.0,-6.6,Winter Minimum Temperature Change
E06000022,1981-2000,-7.5,-6.8,-6.5,Winter Minimum Temperature Change
E06000023,1981-2000,-6.4,-5.8,-5.5,Winter Minimum Temperature Change
E06000024,1981-2000,-6.6,-6.0,-5.7,Winter Minimum Temperature Change
E06000025,1981-2000,-7.6,-6.9,-6.7,Winter Minimum Temperature Change
E06000026,1981-2000,-4.8,-4.6,-4.2,Winter Minimum Temperature Change
E06000027,1981-2000,-4.1,-3.8,-3.3,Winter Minimum Temperature Change
E06000030,1981-2000,-7.7,-7.3,-6.9,Winter Minimum Temperature Change
E06000031,1981-2000,-8.4,-7.9,-7.4,Winter Minimum Temperature Change
E06000032,1981-2000,-7.7,-7.3,-6.8,Winter Minimum Temperature Change
E06000033,1981-2000,-5.7,-5.5,-5.1,Winter Minimum Temperature Change
E06000034,1981-2000,-6.5,-6.1,-5.7,Winter Minimum Temperature Change
E06000035,1981-2000,-6.0,-5.7,-5.3,Winter Minimum Temperature Change
E06000036,1981-2000,-8.2,-7.8,-7.4,Winter Minimum Temperature Change
E06000037,1981-2000,-8.2,-7.8,-7.3,Winter Minimum Temperature Change
E06000038,1981-2000,-7.3,-7.0,-6.4,Winter Minimum Temperature Change
E06000039,1981-2000,-7.4,-6.9,-6.5,Winter Minimum Temperature Change
E06000040,1981-2000,-7.9,-7.5,-7.1,Winter Minimum Temperature Change
E06000041,1981-2000,-8.1,-8.0,-7.4,Winter Minimum Temperature Change
E06000042,1981-2000,-8.4,-7.9,-7.4,Winter Minimum Temperature Change
E06000043,1981-2000,-6.1,-5.6,-5.2,Winter Minimum Temperature Change
E06000044,1981-2000,-5.3,-4.8,-4.5,Winter Minimum Temperature Change
E06000045,1981-2000,-6.0,-5.6,-5.2,Winter Minimum Temperature Change
E06000046,1981-2000,-5.1,-4.8,-4.4,Winter Minimum Temperature Change
E06000047,1981-2000,-8.6,-8.3,-7.9,Winter Minimum Temperature Change
E06000049,1981-2000,-7.5,-7.2,-6.6,Winter Minimum Temperature Change
E06000050,1981-2000,-7.4,-6.9,-6.3,Winter Minimum Temperature Change
E06000051,1981-2000,-8.6,-8.1,-7.5,Winter Minimum Temperature Change
E06000052,1981-2000,-5.3,-4.6,-4.2,Winter Minimum Temperature Change
E06000053,1981-2000,-0.4,0.1,0.7,Winter Minimum Temperature Change
E06000054,1981-2000,-8.1,-7.6,-7.3,Winter Minimum Temperature Change
E06000055,1981-2000,-8.5,-8.0,-7.3,Winter Minimum Temperature Change
E06000056,1981-2000,-8.4,-8.0,-7.4,Winter Minimum Temperature Change
E06000057,1981-2000,-8.7,-8.4,-8.1,Winter Minimum Temperature Change
E06000058,1981-2000,-6.5,-6.3,-5.8,Winter Minimum Temperature Change
E06000059,1981-2000,-7.3,-6.9,-6.5,Winter Minimum Temperature Change
E06000060,1981-2000,-8.4,-8.0,-7.6,Winter Minimum Temperature Change
E06000061,1981-2000,-8.6,-8.2,-7.6,Winter Minimum Temperature Change
E06000062,1981-2000,-8.8,-8.2,-7.8,Winter Minimum Temperature Change
E06000063,1981-2000,-8.2,-8.0,-7.6,Winter Minimum Temperature Change
E06000064,1981-2000,-8.7,-8.4,-8.0,Winter Minimum Temperature Change
E06000065,1981-2000,-8.1,-7.8,-7.4,Winter Minimum Temperature Change
E06000066,1981-2000,-6.8,-6.5,-6.2,Winter Minimum Temperature Change
E07000008,1981-2000,-8.0,-7.6,-7.1,Winter Minimum Temperature Change
E07000009,1981-2000,-7.9,-7.3,-7.0,Winter Minimum Temperature Change
E07000010,1981-2000,-7.8,-7.2,-6.8,Winter Minimum Temperature Change
E07000011,1981-2000,-8.2,-7.7,-7.3,Winter Minimum Temperature Change
E07000012,1981-2000,-8.2,-7.7,-7.2,Winter Minimum Temperature Change
E07000032,1981-2000,-8.0,-7.6,-7.0,Winter Minimum Temperature Change
E07000033,1981-2000,-7.9,-7.5,-6.8,Winter Minimum Temperature Change
E07000034,1981-2000,-7.7,-7.4,-6.8,Winter Minimum Temperature Change
E07000035,1981-2000,-8.3,-7.9,-7.5,Winter Minimum Temperature Change
E07000036,1981-2000,-7.8,-7.3,-6.6,Winter Minimum Temperature Change
E07000037,1981-2000,-8.5,-8.0,-7.7,Winter Minimum Temperature Change
E07000038,1981-2000,-7.8,-7.5,-7.1,Winter Minimum Temperature Change
E07000039,1981-2000,-8.0,-7.5,-6.9,Winter Minimum Temperature Change
E07000040,1981-2000,-6.4,-6.0,-5.6,Winter Minimum Temperature Change
E07000041,1981-2000,-6.4,-5.8,-5.3,Winter Minimum Temperature Change
E07000042,1981-2000,-6.6,-6.1,-5.5,Winter Minimum Temperature Change
E07000043,1981-2000,-6.3,-5.8,-5.5,Winter Minimum Temperature Change
E07000044,1981-2000,-5.2,-4.9,-4.5,Winter Minimum Temperature Change
E07000045,1981-2000,-5.8,-5.5,-4.9,Winter Minimum Temperature Change
E07000046,1981-2000,-6.1,-5.7,-5.2,Winter Minimum Temperature Change
E07000047,1981-2000,-6.7,-6.2,-5.7,Winter Minimum Temperature Change
E07000061,1981-2000,-5.7,-5.0,-4.6,Winter Minimum Temperature Change
E07000062,1981-2000,-5.7,-5.0,-4.6,Winter Minimum Temperature Change
E07000063,1981-2000,-7.0,-6.3,-5.9,Winter Minimum Temperature Change
E07000064,1981-2000,-6.8,-6.2,-5.9,Winter Minimum Temperature Change
E07000065,1981-2000,-7.4,-6.8,-6.5,Winter Minimum Temperature Change
E07000066,1981-2000,-6.9,-6.4,-5.9,Winter Minimum Temperature Change
E07000067,1981-2000,-7.4,-7.0,-6.7,Winter Minimum Temperature Change
E07000068,1981-2000,-7.6,-7.1,-6.8,Winter Minimum Temperature Change
E07000069,1981-2000,-6.2,-5.8,-5.3,Winter Minimum Temperature Change
E07000070,1981-2000,-7.8,-7.3,-6.9,Winter Minimum Temperature Change
E07000071,1981-2000,-6.9,-6.5,-6.2,Winter Minimum Temperature Change
E07000072,1981-2000,-7.7,-7.1,-6.8,Winter Minimum Temperature Change
E07000073,1981-2000,-7.8,-7.2,-6.7,Winter Minimum Temperature Change
E07000074,1981-2000,-6.6,-6.2,-5.9,Winter Minimum Temperature Change
E07000075,1981-2000,-6.6,-6.2,-5.8,Winter Minimum Temperature Change
E07000076,1981-2000,-6.3,-6.0,-5.7,Winter Minimum Temperature Change
E07000077,1981-2000,-8.0,-7.5,-7.3,Winter Minimum Temperature Change
E07000078,1981-2000,-7.8,-7.4,-6.8,Winter Minimum Temperature Change
E07000079,1981-2000,-8.3,-8.0,-7.4,Winter Minimum Temperature Change
E07000080,1981-2000,-7.8,-7.3,-6.8,Winter Minimum Temperature Change
E07000081,1981-2000,-7.1,-6.9,-6.2,Winter Minimum Temperature Change
E07000082,1981-2000,-7.9,-7.4,-6.9,Winter Minimum Temperature Change
E07000083,1981-2000,-8.0,-7.7,-7.1,Winter Minimum Temperature Change
E07000084,1981-2000,-8.0,-7.6,-7.2,Winter Minimum Temperature Change
E07000085,1981-2000,-7.9,-7.5,-7.2,Winter Minimum Temperature Change
E07000086,1981-2000,-6.6,-6.2,-5.8,Winter Minimum Temperature Change
E07000087,1981-2000,-5.8,-5.5,-5.1,Winter Minimum Temperature Change
E07000088,1981-2000,-4.6,-4.2,-3.8,Winter Minimum Temperature Change
E07000089,1981-2000,-8.2,-7.9,-7.3,Winter Minimum Temperature Change
E07000090,1981-2000,-6.2,-5.9,-5.5,Winter Minimum Temperature Change
E07000091,1981-2000,-7.2,-6.9,-6.4,Winter Minimum Temperature Change
E07000092,1981-2000,-8.7,-8.2,-7.8,Winter Minimum Temperature Change
E07000093,1981-2000,-7.7,-7.2,-6.7,Winter Minimum Temperature Change
E07000094,1981-2000,-7.6,-7.1,-6.8,Winter Minimum Temperature Change
E07000095,1981-2000,-7.6,-7.2,-6.7,Winter Minimum Temperature Change
E07000096,1981-2000,-8.1,-7.5,-7.3,Winter Minimum Temperature Change
E07000098,1981-2000,-7.8,-7.3,-6.7,Winter Minimum Temperature Change
E07000099,1981-2000,-8.1,-7.6,-7.3,Winter Minimum Temperature Change
E07000102,1981-2000,-7.6,-7.1,-6.7,Winter Minimum Temperature Change
E07000103,1981-2000,-7.6,-7.1,-6.5,Winter Minimum Temperature Change
E07000105,1981-2000,-7.1,-6.7,-6.2,Winter Minimum Temperature Change
E07000106,1981-2000,-6.5,-6.1,-5.7,Winter Minimum Temperature Change
E07000107,1981-2000,-6.7,-6.2,-5.8,Winter Minimum Temperature Change
E07000108,1981-2000,-6.4,-5.9,-5.4,Winter Minimum Temperature Change
E07000109,1981-2000,-6.7,-6.3,-6.0,Winter Minimum Temperature Change
E07000110,1981-2000,-7.3,-6.8,-6.4,Winter Minimum Temperature Change
E07000111,1981-2000,-8.0,-7.5,-7.1,Winter Minimum Temperature Change
E07000112,1981-2000,-6.8,-6.3,-5.7,Winter Minimum Temperature Change
E07000113,1981-2000,-6.2,-5.8,-5.5,Winter Minimum Temperature Change
E07000114,1981-2000,-5.5,-4.8,-4.3,Winter Minimum Temperature Change
E07000115,1981-2000,-7.6,-7.0,-6.5,Winter Minimum Temperature Change
E07000116,1981-2000,-7.7,-7.1,-6.8,Winter Minimum Temperature Change
E07000117,1981-2000,-7.6,-7.0,-6.7,Winter Minimum Temperature Change
E07000118,1981-2000,-7.0,-6.8,-6.0,Winter Minimum Temperature Change
E07000119,1981-2000,-7.5,-7.2,-6.5,Winter Minimum Temperature Change
E07000120,1981-2000,-6.9,-6.5,-6.1,Winter Minimum Temperature Change
E07000121,1981-2000,-6.8,-6.6,-6.0,Winter Minimum Temperature Change
E07000122,1981-2000,-7.7,-7.2,-6.7,Winter Minimum Temperature Change
E07000123,1981-2000,-7.2,-6.9,-6.1,Winter Minimum Temperature Change
E07000124,1981-2000,-7.5,-7.3,-6.7,Winter Minimum Temperature Change
E07000125,1981-2000,-7.8,-7.1,-6.8,Winter Minimum Temperature Change
E07000126,1981-2000,-6.8,-6.5,-5.7,Winter Minimum Temperature Change
E07000127,1981-2000,-6.5,-6.3,-5.7,Winter Minimum Temperature Change
E07000128,1981-2000,-7.0,-6.7,-6.1,Winter Minimum Temperature Change
E07000129,1981-2000,-8.5,-8.1,-7.4,Winter Minimum Temperature Change
E07000130,1981-2000,-8.5,-8.1,-7.4,Winter Minimum Temperature Change
E07000131,1981-2000,-9.1,-8.6,-8.0,Winter Minimum Temperature Change
E07000132,1981-2000,-8.6,-8.1,-7.3,Winter Minimum Temperature Change
E07000133,1981-2000,-8.6,-8.2,-7.6,Winter Minimum Temperature Change
E07000134,1981-2000,-8.2,-7.7,-7.2,Winter Minimum Temperature Change
E07000135,1981-2000,-9.0,-8.6,-7.9,Winter Minimum Temperature Change
E07000136,1981-2000,-7.4,-7.0,-6.5,Winter Minimum Temperature Change
E07000137,1981-2000,-7.1,-6.8,-6.3,Winter Minimum Temperature Change
E07000138,1981-2000,-7.7,-7.3,-6.6,Winter Minimum Temperature Change
E07000139,1981-2000,-7.6,-7.2,-6.5,Winter Minimum Temperature Change
E07000140,1981-2000,-7.6,-7.1,-6.6,Winter Minimum Temperature Change
E07000141,1981-2000,-8.1,-7.7,-7.0,Winter Minimum Temperature Change
E07000142,1981-2000,-7.5,-7.1,-6.6,Winter Minimum Temperature Change
E07000143,1981-2000,-7.8,-7.3,-6.9,Winter Minimum Temperature Change
E07000144,1981-2000,-6.8,-6.5,-6.3,Winter Minimum Temperature Change
E07000145,1981-2000,-5.9,-5.5,-5.1,Winter Minimum Temperature Change
E07000146,1981-2000,-7.4,-6.9,-6.5,Winter Minimum Temperature Change
E07000147,1981-2000,-6.2,-6.0,-5.6,Winter Minimum Temperature Change
E07000148,1981-2000,-6.5,-6.2,-5.9,Winter Minimum Temperature Change
E07000149,1981-2000,-7.1,-6.8,-6.5,Winter Minimum Temperature Change
E07000170,1981-2000,-7.5,-7.2,-6.6,Winter Minimum Temperature Change
E07000171,1981-2000,-8.0,-7.6,-7.0,Winter Minimum Temperature Change
E07000172,1981-2000,-7.5,-7.2,-6.3,Winter Minimum Temperature Change
E07000173,1981-2000,-7.4,-7.2,-6.5,Winter Minimum Temperature Change
E07000174,1981-2000,-7.7,-7.2,-6.6,Winter Minimum Temperature Change
E07000175,1981-2000,-7.6,-7.3,-6.6,Winter Minimum Temperature Change
E07000176,1981-2000,-7.9,-7.5,-6.6,Winter Minimum Temperature Change
E07000177,1981-2000,-8.9,-8.4,-8.0,Winter Minimum Temperature Change
E07000178,1981-2000,-7.5,-7.1,-6.4,Winter Minimum Temperature Change
E07000179,1981-2000,-8.4,-8.1,-7.6,Winter Minimum Temperature Change
E07000180,1981-2000,-8.0,-7.8,-7.1,Winter Minimum Temperature Change
E07000181,1981-2000,-8.4,-8.0,-7.5,Winter Minimum Temperature Change
E07000192,1981-2000,-8.2,-7.5,-7.1,Winter Minimum Temperature Change
E07000193,1981-2000,-7.9,-7.6,-7.1,Winter Minimum Temperature Change
